Campos Belos ;5204904;;;;"INSERT INTO municipio_codigo VALUES('Campos Belos ','5204904');";
Campos Verdes ;5204953;;;;"INSERT INTO municipio_codigo VALUES('Campos Verdes ','5204953');";
Carmo do Rio Verde ;5205000;;;;"INSERT INTO municipio_codigo VALUES('Carmo do Rio Verde ','5205000');";
Castelândia ;5205059;;;;"INSERT INTO municipio_codigo VALUES('Castelândia ','5205059');";
Catalão ;5205109;;;;"INSERT INTO municipio_codigo VALUES('Catalão ','5205109');";
Caturaí ;5205208;;;;"INSERT INTO municipio_codigo VALUES('Caturaí ','5205208');";
Cavalcante ;5205307;;;;"INSERT INTO municipio_codigo VALUES('Cavalcante ','5205307');";
Ceres ;5205406;;;;"INSERT INTO municipio_codigo VALUES('Ceres ','5205406');";
Cezarina ;5205455;;;;"INSERT INTO municipio_codigo VALUES('Cezarina ','5205455');";
Chapadão do Céu ;5205471;;;;"INSERT INTO municipio_codigo VALUES('Chapadão do Céu ','5205471');";
Cidade Ocidental ;5205497;;;;"INSERT INTO municipio_codigo VALUES('Cidade Ocidental ','5205497');";
Cocalzinho de Goiás ;5205513;;;;"INSERT INTO municipio_codigo VALUES('Cocalzinho de Goiás ','5205513');";
Colinas do Sul ;5205521;;;;"INSERT INTO municipio_codigo VALUES('Colinas do Sul ','5205521');";
Córrego do Ouro ;5205703;;;;"INSERT INTO municipio_codigo VALUES('Córrego do Ouro ','5205703');";
Corumbá de Goiás ;5205802;;;;"INSERT INTO municipio_codigo VALUES('Corumbá de Goiás ','5205802');";
Corumbaíba ;5205901;;;;"INSERT INTO municipio_codigo VALUES('Corumbaíba ','5205901');";
Cristalina ;5206206;;;;"INSERT INTO municipio_codigo VALUES('Cristalina ','5206206');";
Cristianópolis ;5206305;;;;"INSERT INTO municipio_codigo VALUES('Cristianópolis ','5206305');";
Crixás ;5206404;;;;"INSERT INTO municipio_codigo VALUES('Crixás ','5206404');";
Cromínia ;5206503;;;;"INSERT INTO municipio_codigo VALUES('Cromínia ','5206503');";
